iter	RMSE
583	569257.7135
584	569104.7902
585	568859.8212
586	568513.5865
587	567803.2531
588	567216.4861
589	566630.2235
590	566391.515
591	566378.9629
592	565852.5669
593	565278.0163
594	564243.8356
595	563336.2783
596	563324.8314
597	562861.6959
598	562415.027
599	562216.1104
600	561349.5742
601	561235.804
602	560493.0716
603	559947.6791
604	559875.6916
605	559307.2366
606	559049.011
607	558968.9843
608	558558.5505
609	558549.6161
610	557745.6185
611	557734.5565
612	557726.2964
613	557217.9057
614	557208.1524
615	556852.6711
616	556747.9646
617	556649.0253
618	556535.7787
619	556403.1056
620	555889.1481
621	555448.4306
622	554897.4221
623	554648.9678
624	554150.8309
625	554078.316
626	552891.4972
627	552520.9435
628	552155.8992
629	551892.3214
630	551316.8241
631	550893.8088
632	550883.7749
633	550312.9732
634	550210.5723
635	550139.8369
636	550103.2103
637	550094.3486
638	550083.7967
639	550053.5788
640	549823.6546
641	549374.3258
642	548638.2648
643	548628.2876
644	548152.2994
645	547987.8455
646	547891.8685
647	547776.8978
648	547363.1698
649	547112.3204
650	547105.36
651	546770.0447
652	546385.3797
653	546284.9037
654	546196.2229
655	545501.1878
656	545271.7061
657	545012.408
658	544595.6056
659	544230.9173
660	544222.3646
661	544215.7721
662	543870.6346
663	543336.8707
664	542807.1022
665	542079.1553
666	541779.4801
667	541675.342
668	541582.3919
669	541470.7793
670	540976.0998
671	540896.2707
672	540679.5025
673	540608.5376
674	540314.3146
675	539552.4358
676	538813.5661
677	538581.2586
678	538364.568
679	538008.7935
680	537902.3404
681	537677.479
682	537499.4309
683	537399.689
684	536722.4147
685	536464.1628
686	536204.7208
687	535931.3037
688	535925.3216
689	535433.1051
690	534659.4205
691	534266.1487
692	534102.6526
693	533511.1845
694	533172.8494
695	533164.8862
696	533045.6442
697	532502.2845
698	532495.8363
699	532327.6275
700	532321.3362
701	531673.0313
702	531168.2606
703	530683.7976
704	530263.1259
705	529639.2709
706	528849.0614
707	528411.1749
708	527941.9901
709	527935.7877
710	527747.6238
711	527648.8174
712	527471.1627
713	527151.6778
714	526625.193
715	526153.1476
716	525201.0721
717	524876.869
718	524816.6778
719	524704.9413
720	524232.5754
721	523952.6607
722	523753.1455
723	523054.6558
724	522252.7397
725	521799.901
726	521703.7357
727	521622.4079
728	521340.079
729	521135.5221
730	521127.117
731	520759.6147
732	520382.3811
733	519968.75
734	519229.5449
735	519174.9343
736	519166.5069
737	518925.5332
738	518589.6125
739	518287.3162
740	518129.554
741	517911.6569
742	517819.0734
743	517607.3517
744	517152.9276
745	516951.6228
746	516370.4364
747	516242.9757
748	515991.8249
749	515516.4469
750	515149.2254
751	514518.5236
752	514013.8036
753	513727.3549
754	513535.7427
755	513415.1718
756	513119.2713
757	512906.5124
758	512858.5207
759	512459.0748
760	512221.9963
761	511876.3038
762	511870.0225
763	511480.9803
764	511324.8139
765	510728.7703
766	510655.4515
767	510412.1175
768	510075.2747
769	509345.7711
770	509141.4738
771	508814.2204
772	508401.0746
773	507998.6205
774	507352.4585
775	507064.4816
776	506486.5686
777	506210.484
778	505808.0328
779	504699.5517
780	504612.0691
781	504195.63
782	504118.1509
783	504037.2405
784	503876.2955
785	503479.2037
786	503471.2147
787	503121.2587
788	502780.103
789	502445.4715
790	502265.4614
791	501477.655
792	501260.2569
793	501254.2993
794	500721.0922
795	500551.7962
796	500475.0862
797	500205.0396
798	500044.0351
799	499713.251
800	499004.6459
801	498782.2484
802	498154.4356
803	497458.3654
804	497184.3694
805	496640.3851
806	496354.2038
807	495721.9452
808	495496.6882
809	495135.7729
810	494983.4881
811	494978.6113
812	494763.531
813	494461.4094
814	494266.9047
815	493927.8554
816	493081.7144
817	492840.7953
818	492570.9803
819	492395.4768
820	492389.4356
821	492109.6286
822	491690.7373
823	490934.3838
824	490530.0121
825	490339.9405
826	489842.0702
827	489653.9003
828	489484.6435
829	489133.9492
830	488923.0463
831	488287.5545
832	488035.5985
833	487800.0693
834	487683.0177
835	487602.2068
836	487181.0154
837	486510.8821
838	485960.0063
839	485266.9162
840	485244.5694
841	485004.3839
842	484955.5603
843	484724.3249
844	484530.1061
845	484412.266
846	484288.3036
847	483772.8874
848	483661.194
849	483154.6275
850	482619.7135
851	482415.0646
852	482094.6643
853	482089.7796
854	481745.1156
855	481292.7374
856	480855.4413
857	480848.0408
858	480701.5651
859	480007.808
860	479636.9552
861	479136.0563
862	479130.6235
863	478801.8535
864	478509.3167
865	478367.1295
866	477721.7068
867	477244.2712
868	477008.8681
869	477003.2132
870	476820.4733
871	476815.4381
872	476618.8501
873	476295.3985
874	475955.5724
875	475789.0372
876	475619.5115
877	475534.8651
878	475335.5093
879	474960.1188
880	474786.2711
881	474361.9294
882	473798.8771
